"Szenario";"Type";"raw_oop";"smoothed_oop";"raw_sw";"smoothed_sw"
2;"Total Costs";-2117005148;-2615911329;15688723939;15749872916
2;"Costs G. & Prev.";13960386048;13947704678;17445657083;17386351061
2;"Costs S. D.";-6375373157;-6511267091;-2879735979;-2934362573
2;"Costs P.";-9702009036;-10052313949;1122809616;1297896439
3;"Total Costs";-5426799234;-5938120723;12378932431;12427260016
3;"Costs G. & Prev.";11368202221;11362352796;14853473392;14800977848
3;"Costs S. D.";-7216553248;-7368680281;-3720914945;-3791951741
3;"Costs P.";-9578443960;-9931773358;1246375998;1418232610
